city,cloud,country,date,humidity,lat,lng,maxtemp,windspeed
Tiarei,20,PF,1584148895,59,-17.53,-149.33,91.4,4.7
Ndioum,0,SN,1584148895,22,16.51,-14.65,80.6,11.39
Manzanillo,47,CU,1584148895,55,20.34,-77.12,80.08,11.1
La Victoria,45,VE,1584148895,77,10.22,-67.33,69.01,4.7
Kaeo,13,NZ,1584148895,70,-35.1,173.78,71.01,10.0
Straumen,75,NO,1584148895,79,63.87,11.3,30.0,16.11
Srednekolymsk,85,RU,1584148895,89,67.45,153.68,-16.76,11.21
San Cristobal,75,VE,1584148843,69,7.77,-72.22,80.6,4.7
Nuquí,40,CO,1584148863,83,5.71,-77.27,82.4,5.88
Porto Belo,20,BR,1584148896,83,-27.16,-48.55,78.01,8.05
Dekar,1,BW,1584148896,76,-21.53,21.93,69.03,5.64
Beisfjord,100,NO,1584148896,85,68.38,17.6,24.01,14.99
Ranong,40,TH,1584148896,74,9.97,98.63,86.0,2.24
Sørland,100,NO,1584148618,57,67.67,12.69,30.81,20.42
Aykhal,0,RU,1584148614,75,66.0,111.5,-14.8,6.71
Chicama,2,PE,1584148896,88,-7.84,-79.15,73.4,13.87
Roanoke Rapids,1,US,1584148811,87,36.46,-77.65,69.8,9.17
Kiryat Gat,75,IL,1584148612,87,31.61,34.76,59.0,18.34
Shuyskoye,93,RU,1584148897,88,59.37,41.03,31.6,11.1
Cananea,46,MX,1584148897,49,30.95,-110.3,55.99,7.0
Raudeberg,98,NO,1584148897,66,61.99,5.14,32.0,11.41
Alekseyevka,100,RU,1584148897,73,50.63,38.69,41.63,6.11
Nikolskoye,75,RU,1584148310,63,59.7,30.79,26.6,17.9
Poronaysk,29,RU,1584148897,61,49.22,143.12,21.52,4.94
Kuzovatovo,17,RU,1584148898,82,53.55,47.69,33.66,8.75
Puerto Baquerizo Moreno,20,EC,1584148898,88,-0.9,-89.6,80.6,4.7
Luwingu,100,ZM,1584148898,98,-10.26,29.93,65.07,4.12
Ulladulla,90,AU,1584148898,93,-35.35,150.47,52.0,9.17
Stokmarknes,100,NO,1584148898,89,68.56,14.91,24.01,1.01
Pareora,0,NZ,1584148898,71,-44.49,171.21,64.99,4.0
